PP,Blok,Condition,timestamp,SnMouseAct,SnLeftClicked,SnRightClicked,SnDoubleClicked,SnWheel,SnDragged,SnMouseDistance,SnKeyStrokes,SnChars,SnSpecialKeys,SnDirectionKeys,SnErrorKeys,SnShortcutKeys,SnSpaces,SnAppChange,SnTabfocusChange,,
PP1,1,R,20120918T131600000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,1,R,20120918T131700000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,1,R,20120918T131800000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,1,R,20120918T131900000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,1,R,20120918T132000000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,1,R,20120918T132100000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,1,N,20120918T132600000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,1,N,20120918T132700000,0,0,0,0,0,0,0.000000000000,0,0,0,0,0,0,0,0,0,,
PP1,1,N,20120918T132800000,8,5,0,2,1,0,5691.235163195810,0,0,0,0,0,0,0,5,0,,
PP1,1,N,20120918T132900000,12,7,0,1,4,0,7726.999222977160,0,0,0,0,0,0,0,8,3,,
PP1,1,N,20120918T133000000,10,5,0,0,3,1,6307.768270917810,53,32,21,0,8,0,5,1,4,,
PP1,1,N,20120918T133100000,0,0,0,0,0,0,0.000000000000,38,19,19,0,4,0,3,0,0,,
PP1,1,N,20120918T133200000,34,12,0,0,4,9,31920.220433543600,10,7,3,0,0,0,2,3,0,,
PP1,1,N,20120918T133300000,37,17,0,2,0,9,24669.271105170600,38,23,15,1,2,0,6,8,0,,
PP1,1,N,20120918T133400000,25,10,0,0,1,7,19448.107969531700,8,7,1,0,0,0,0,0,0,,
PP1,1,N,20120918T133500000,0,0,0,0,0,0,0.000000000000,108,75,33,0,8,0,17,1,0,,
