PP,Blok,Condition,timestamp,SnMouseAct,SnLeftClicked,SnRightClicked,SnDoubleClicked,SnWheel,SnDragged,SnMouseDistance,SnMouseDistance,SnKeyStrokes,SnChars,SnSpecialKeys,SnDirectionKeys,SnErrorKeys,SnShortcutKeys,SnSpaces,SnAppChange,SnTabfocusChange
PP1,1,R,20120918T131600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,1,R,20120918T131700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,1,R,20120918T131800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,1,R,20120918T131900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,1,R,20120918T132000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,1,R,20120918T132100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,1,N,20120918T132600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,1,N,20120918T132700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PP1,1,N,20120918T132800000,8,5,0,2,1,0,5691235163195810,5691,0,0,0,0,0,0,0,5,0
PP1,1,N,20120918T132900000,12,7,0,1,4,0,7726999222977160,7727,0,0,0,0,0,0,0,8,3
PP1,1,N,20120918T133000000,10,5,0,0,3,1,6307768270917810,6308,53,32,21,0,8,0,5,1,4
PP1,1,N,20120918T133100000,0,0,0,0,0,0,0,0,38,19,19,0,4,0,3,0,0
PP1,1,N,20120918T133200000,34,12,0,0,4,9,31920220433543600,31920,10,7,3,0,0,0,2,3,0
PP1,1,N,20120918T133300000,37,17,0,2,0,9,24669271105170600,24669,38,23,15,1,2,0,6,8,0
PP1,1,N,20120918T133400000,25,10,0,0,1,7,19448107969531700,19448,8,7,1,0,0,0,0,0,0
PP1,1,N,20120918T133500000,0,0,0,0,0,0,0,0,108,75,33,0,8,0,17,1,0
PP1,1,N,20120918T133600000,0,0,0,0,0,0,0,0,183,125,58,24,6,0,24,0,0
PP1,1,N,20120918T133700000,4,2,0,0,0,1,2670793367081960,2671,140,86,54,0,20,0,23,0,0
