PP;Blok;Condition;timestamp;Squality;Sneutral;Shappy;Ssad;Sangry;Ssurprised;Sscared;Sdisgusted;Svalence;SyHeadOrientation;SxHeadOrientation;SzHeadOrientation;SmouthOpen;SleftEyeClosed;SrightEyeClosed;SleftEyebrowLowered;SleftEyebrowRaised;SrightEyebrowLowered;SrightEyebrowRaised;SgazeDirectionForward;SgazeDirectionLeft;SgazeDirectionRight;SAu01_InnerBrowRaiser;SAu02_OuterBrowRaiser;SAu04_BrowLowerer;SAu05_UpperLidRaiser;SAu06_CheekRaiser;SAu07_LidTightener;SAu09_NoseWrinkler;SAu10_UpperLipRaiser;SAu12_LipCornerPuller;SAu14_Dimpler;SAu15_LipCornerDepressor;SAu17_ChinRaiser;SAu20_LipStretcher;SAu23_LipTightener;SAu24_LipPressor;SAu25_LipsPart;SAu26_JawDrop;SAu27_MouthStretch;SAu43_EyesClosed;;
PP1;1;R;20120918T131600000;0,944941;0,968862;0,023946;0,001300;0,016315;0,002024;0,001087;0,000286;0,007396;-6,954147;-5,818151;-0,584952;0,000000;0,000000;0,000000;0,050000;0,025000;0,020833;0,000000;0,962500;0,000000;0,016667;0,000000;0,000000;0,029167;0,141667;0,000000;0,000000;0,533333;0,558333;0,000000;0,062500;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;;
PP1;1;R;20120918T131700000;0,930303;0,884570;0,076952;0,001144;0,017392;0,002032;0,000651;0,000344;0,058770;-10,564172;-6,567912;-3,906502;0,000000;0,020921;0,000000;0,004184;0,108787;0,000000;0,000000;0,945607;0,000000;0,000000;0,000000;0,000000;0,000000;0,096234;0,000000;0,000000;0,560669;0,071130;0,000000;0,029289;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;;
PP1;1;R;20120918T131800000;0,933104;0,931965;0,031468;0,000371;0,023774;0,001722;0,001756;0,000597;0,007164;-10,721106;-7,055848;-2,452367;0,000000;0,000000;0,000000;0,025000;0,025000;0,004167;0,000000;0,966667;0,000000;0,012500;0,000000;0,000000;0,000000;0,170833;0,000000;0,000000;0,604167;0,750000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;;
PP1;1;R;20120918T131900000;0,904466;0,806947;0,105516;0,006459;0,009809;0,001563;0,000441;0,000311;0,089651;-10,782755;-5,616126;-4,669924;0,000000;0,118644;0,046610;0,038136;0,033898;0,000000;0,025424;0,970339;0,004237;0,000000;0,118644;0,000000;0,000000;0,072034;0,000000;0,000000;0,372881;0,012712;0,004237;0,004237;0,000000;0,076271;0,000000;0,025424;0,000000;0,000000;0,000000;0,000000;0,000000;;
PP1;1;R;20120918T132000000;0,929025;0,951412;0,028358;0,001095;0,018130;0,001309;0,003466;0,000286;0,008581;-3,880091;-4,621940;-5,893645;0,000000;0,033333;0,012500;0,179167;0,125000;0,004167;0,000000;0,958333;0,000000;0,029167;0,000000;0,000000;0,000000;0,116667;0,000000;0,000000;0,729167;0,770833;0,000000;0,133333;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;;
PP1;1;R;20120918T132100000;0,909790;0,860669;0,091528;0,001091;0,015505;0,001192;0,001034;0,000341;0,075597;-10,667572;-5,212137;-7,195323;0,000000;0,200000;0,016667;0,000000;0,016667;0,000000;0,000000;0,912500;0,020833;0,008333;0,000000;0,000000;0,000000;0,075000;0,037500;0,000000;0,916667;0,287500;0,000000;0,008333;0,000000;0,000000;0,004167;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;;
PP1;1;N;20120918T132600000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;999,000000;;
PP1;1;N;20120918T132700000;0,904467;0,889371;0,057581;0,029117;0,016379;0,001627;0,000253;0,000585;0,017913;-5,511874;-1,829197;2,154035;0,000000;0,131579;0,175439;0,807018;0,000000;0,473684;0,000000;0,833333;0,026316;0,035088;0,000000;0,000000;0,850877;0,008772;0,000000;0,008772;0,350877;0,096491;0,043860;0,149123;0,245614;0,254386;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,035088;;
PP1;1;N;20120918T132800000;0,920910;0,879852;0,062577;0,009506;0,009014;0,001917;0,000672;0,000198;0,045847;-5,526549;-3,555977;4,088908;0,000000;0,075314;0,075314;0,824268;0,012552;0,271967;0,000000;0,916318;0,012552;0,025105;0,000000;0,000000;0,125523;0,016736;0,012552;0,000000;0,029289;0,096234;0,179916;0,058577;0,000000;0,000000;0,000000;0,004184;0,000000;0,000000;0,000000;0,000000;0,033473;;
PP1;1;N;20120918T132900000;0,923512;0,913070;0,033472;0,010112;0,006385;0,002737;0,000648;0,001037;0,019678;-5,596042;-1,824819;1,346101;0,000000;0,262500;0,062500;0,845833;0,000000;0,529167;0,008333;0,941667;0,008333;0,020833;0,000000;0,354167;0,687500;0,004167;0,004167;0,000000;0,045833;0,008333;0,000000;0,004167;0,008333;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,012500;;
