,PP,Blok,Condition_x,timestamp,SnMouseAct,SnLeftClicked,SnRightClicked,SnDoubleClicked,SnWheel,SnDragged,SnMouseDistance,SnMouseDistance.1,SnKeyStrokes,SnChars,SnSpecialKeys,SnDirectionKeys,SnErrorKeys,SnShortcutKeys,SnSpaces,SnAppChange,SnTabfocusChange,C_x,Squality,Sneutral,Shappy,Ssad,Sangry,Ssurprised,Sscared,Sdisgusted,Svalence,SyHeadOrientation,SxHeadOrientation,SzHeadOrientation,SmouthOpen,SleftEyeClosed,SrightEyeClosed,SleftEyebrowLowered,SleftEyebrowRaised,SrightEyebrowLowered,SrightEyebrowRaised,SgazeDirectionForward,SgazeDirectionLeft,SgazeDirectionRight,SAu01_InnerBrowRaiser,SAu02_OuterBrowRaiser,SAu04_BrowLowerer,SAu05_UpperLidRaiser,SAu06_CheekRaiser,SAu07_LidTightener,SAu09_NoseWrinkler,SAu10_UpperLipRaiser,SAu12_LipCornerPuller,SAu14_Dimpler,SAu15_LipCornerDepressor,SAu17_ChinRaiser,SAu20_LipStretcher,SAu23_LipTightener,SAu24_LipPressor,SAu25_LipsPart,SAu26_JawDrop,SAu27_MouthStretch,SAu43_EyesClosed,C_y,Condition_y,HR,RMSSD,SCL,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,PP1,1.0,R,20120918T131600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"0,944940918","0,968862042","0,023946383","0,001300175","0,01631547","0,002024427","0,001087404","2,86E-04","0,007396084",-7,-6,"-0,584951747",0,0,0,"0,05","0,025","0,020833333",0,"0,9625",0,"0,016666667",0,0,"0,029166667","0,141666667",0,0,"0,533333333","0,558333333",0,"0,0625",0,0,0,0,0,0,0,0,0,1.0,R,999.0,999.0,80.239727,,,,,999 is NaN
1,PP1,1.0,R,20120918T131700000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"0,930303215","0,884569791","0,0769516","0,001143958","0,017391767","0,002032258","6,51E-04","3,44E-04","0,058769822",-11,-7,-4,0,"0,020920502",0,"0,0041841","0,108786611",0,0,"0,945606695",0,0,0,0,0,"0,09623431",0,0,"0,560669456","0,071129707",0,"0,029288703",0,0,0,0,0,0,0,0,0,1.0,R,61.0,0.06142,77.365127,,,,,
2,PP1,1.0,R,20120918T131800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"0,933103582","0,931965175","0,031467652","3,71E-04","0,02377429","0,001722048","0,001755572","5,97E-04","0,007163655",-11,-7,-2,0,0,0,"0,025","0,025","0,004166667",0,"0,966666667",0,"0,0125",0,0,0,"0,170833333",0,0,"0,604166667","0,75",0,0,0,0,0,0,0,0,0,0,0,1.0,R,64.0,0.049663,77.359559,,,,,
3,PP1,1.0,R,20120918T131900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"0,904465576","0,806947492","0,105516304","0,006458788","0,009808953","0,00156318","4,41E-04","3,11E-04","0,089651117",-11,-6,-5,0,"0,118644068","0,046610169","0,038135593","0,033898305",0,"0,025423729","0,970338983","0,004237288",0,"0,118644068",0,0,"0,072033898",0,0,"0,372881356","0,012711864","0,004237288","0,004237288",0,"0,076271186",0,"0,025423729",0,0,0,0,0,1.0,R,60.0,0.052487,76.728772,,,,,
4,PP1,1.0,R,20120918T132000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"0,929025401","0,951412201","0,028358411","0,001095142","0,018130128","0,001308753","0,003465946","2,86E-04","0,008580937",-4,-5,-6,0,"0,033333333","0,0125","0,179166667","0,125","0,004166667",0,"0,958333333",0,"0,029166667",0,0,0,"0,116666667",0,0,"0,729166667","0,770833333",0,"0,133333333",0,0,0,0,0,0,0,0,0,1.0,R,61.0,0.051189,76.512877,,,,,
5,PP1,1.0,R,20120918T132100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"0,909789908","0,860669358","0,091528206","0,001091498","0,015504973","0,001192221","0,001034162","3,41E-04","0,075596645",-11,-5,-7,0,"0,2","0,016666667",0,"0,016666667",0,0,"0,9125","0,020833333","0,008333333",0,0,0,"0,075","0,0375",0,"0,916666667","0,2875",0,"0,008333333",0,0,"0,004166667",0,0,0,0,0,0,1.0,R,65.0,0.037098,76.873877,,,,,
6,PP1,1.0,N,20120918T132600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,N,69.0,0.044294,68.21287,,,,,
7,PP1,1.0,N,20120918T132700000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"0,904466718","0,889370978","0,057581071","0,02911709","0,016378925","0,001627075","2,53E-04","5,85E-04","0,017912695",-6,-2,2,0,"0,131578947","0,175438596","0,807017544",0,"0,473684211",0,"0,833333333","0,026315789","0,035087719",0,0,"0,850877193","0,00877193",0,"0,00877193","0,350877193","0,096491228","0,043859649","0,149122807","0,245614035","0,254385965",0,0,0,0,0,0,"0,035087719",1.0,N,74.0,0.037915,67.145289,,,,,
8,PP1,1.0,N,20120918T132800000,8.0,5.0,0.0,2.0,1.0,0.0,5691235163195810.0,5691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1,"0,920909566","0,879852085","0,062577393","0,009506273","0,009014366","0,001916755","6,72E-04","1,98E-04","0,045847057",-6,-4,4,0,"0,075313808","0,075313808","0,824267782","0,012552301","0,271966527",0,"0,916317992","0,012552301","0,025104603",0,0,"0,125523013","0,016736402","0,012552301",0,"0,029288703","0,09623431","0,179916318","0,058577406",0,0,0,"0,0041841",0,0,0,0,"0,033472803",1.0,N,65.0,0.066091,67.248375,,,,,
9,PP1,1.0,N,20120918T132900000,12.0,7.0,0.0,1.0,4.0,0.0,7726999222977160.0,7727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1,"0,923511638","0,913070394","0,033472498","0,010112048","0,006384674","0,002736679","6,48E-04","0,001037298","0,019677859",-6,-2,1,0,"0,2625","0,0625","0,845833333",0,"0,529166667","0,008333333","0,941666667","0,008333333","0,020833333",0,"0,354166667","0,6875","0,004166667","0,004166667",0,"0,045833333","0,008333333",0,"0,004166667","0,008333333",0,0,0,0,0,0,0,"0,0125",1.0,N,67.0,0.045529,65.998403,,,,,
10,PP1,1.0,N,20120918T133000000,10.0,5.0,0.0,0.0,3.0,1.0,6307768270917810.0,6308.0,53.0,32.0,21.0,0.0,8.0,0.0,5.0,1.0,4.0,1,"0,903377346","0,802017781","0,077507431","0,035483846","0,005504931","0,002529925","9,81E-04","0,001650341","0,04110093","0,113498918",-2,1,"0,049107143","0,263392857","0,330357143","0,736607143",0,"0,272321429","0,022321429","0,758928571","0,049107143","0,116071429",0,"0,0625","0,816964286","0,035714286","0,058035714",0,"0,116071429","0,147321429","0,517857143","0,151785714",0,0,0,0,0,"0,107142857",0,0,"0,401785714",1.0,N,70.0,0.042963,66.27938,,,,,
11,PP1,1.0,N,20120918T133100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,19.0,19.0,0.0,4.0,0.0,3.0,0.0,0.0,1,"0,925266375","0,865314021","0,06599996","0,011718608","0,005350949","0,00588201","8,06E-04","2,58E-04","0,052019688",-2,-4,2,0,"0,017094017","0,072649573","0,572649573","0,115384615","0,282051282",0,"0,739316239","0,170940171","0,038461538",0,"0,115384615","0,217948718","0,341880342",0,0,"0,021367521","0,055555556","0,051282051","0,102564103",0,0,0,"0,038461538","0,004273504",0,0,0,"0,034188034",1.0,N,69.0,0.05259,67.702527,,,,,
12,PP1,1.0,N,20120918T133200000,34.0,12.0,0.0,0.0,4.0,9.0,3.19202204335436e+16,31920.0,10.0,7.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,1,"0,917356531","0,866958482","0,06383349","0,015285553","0,008447883","0,014175527","5,47E-04","7,94E-04","0,043805586",-6,-6,1,0,"0,116666667","0,15","0,341666667","0,283333333","0,358333333","0,025","0,816666667","0,120833333","0,008333333","0,020833333","0,058333333","0,279166667","0,3875","0,008333333",0,"0,05","0,075","0,095833333","0,008333333",0,0,0,0,0,0,0,0,"0,233333333",1.0,N,68.0,0.052944,66.217699,,,,,
13,PP1,1.0,N,20120918T133300000,37.0,17.0,0.0,2.0,0.0,9.0,2.46692711051706e+16,24669.0,38.0,23.0,15.0,1.0,2.0,0.0,6.0,8.0,0.0,1,"0,910777588","0,865072467","0,07354101","0,006360864","0,008635523","0,003665024","2,27E-04","1,82E-04","0,062905263",-7,-8,3,0,"0,138075314","0,10041841","0,347280335","0,39748954","0,267782427",0,"0,69874477","0,251046025","0,012552301",0,"0,058577406","0,087866109","0,020920502","0,029288703",0,0,"0,062761506",0,"0,071129707",0,"0,125523013",0,"0,217573222","0,0041841",0,0,0,"0,179916318",1.0,N,66.0,0.05016,67.625462,,,,,
14,PP1,1.0,N,20120918T133400000,25.0,10.0,0.0,0.0,1.0,7.0,1.94481079695317e+16,19448.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"0,928929867","0,898195201","0,051223008","0,020693433","0,003406714","0,003294569","7,82E-04","3,41E-04","0,028353545",-2,-4,1,0,"0,103896104","0,103896104","0,670995671","0,173160173","0,212121212",0,"0,87012987","0,051948052","0,043290043",0,"0,025974026","0,346320346","0,277056277",0,0,0,"0,203463203",0,"0,346320346",0,0,0,0,0,0,0,0,"0,051948052",1.0,N,66.0,0.034505,66.731162,,,,,
15,PP1,1.0,N,20120918T133500000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,75.0,33.0,0.0,8.0,0.0,17.0,1.0,0.0,1,"0,93297651","0,955401268","0,028104528","0,025092801","0,002615733","0,00368586","2,86E-04","7,63E-04","0,002881733",2,-5,"0,801751371",0,"0,029535865","0,071729958","0,734177215","0,016877637","0,308016878",0,"0,894514768","0,012658228","0,037974684","0,016877637","0,101265823","0,396624473","0,025316456",0,0,"0,046413502","0,253164557",0,"0,502109705",0,0,0,0,"0,025316456",0,0,0,"0,253164557",1.0,N,70.0,0.042028,67.267059,,,,,
16,PP1,1.0,N,20120918T133600000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,125.0,58.0,24.0,6.0,0.0,24.0,0.0,0.0,1,"0,933144907","0,959974168","0,0222162","0,019781096","0,002661633","0,005598571","2,58E-04","8,61E-04","0,001828913","0,167333973",-6,1,0,"0,0375","0,033333333","0,5625","0,008333333","0,2375",0,"0,9125","0,0375","0,004166667",0,"0,333333333","0,3625","0,083333333",0,0,"0,020833333","0,254166667","0,016666667","0,325",0,0,0,0,0,0,0,0,"0,133333333",1.0,N,65.0,0.042229,68.164472,,,,,
17,PP1,1.0,N,20120918T133700000,4.0,2.0,0.0,0.0,0.0,1.0,2670793367081960.0,2671.0,140.0,86.0,54.0,0.0,20.0,0.0,23.0,0.0,0.0,1,"0,92195731","0,952582858","0,024442571","0,015342117","0,005157158","0,003092999","2,73E-04","0,002091294","0,007382149",-1,-7,2,0,"0,008547009","0,064102564","0,427350427","0,047008547","0,405982906",0,"0,901709402","0,042735043",0,0,"0,256410256","0,666666667","0,021367521",0,0,"0,153846154","0,465811966","0,08974359","0,213675214",0,0,0,0,0,0,0,0,"0,02991453",1.0,N,65.0,0.052145,68.173421,,,,,
18,PP1,1.0,N,20120918T133800000,15.0,10.0,0.0,1.0,0.0,2.0,7997001313333640.0,7997.0,62.0,34.0,28.0,9.0,4.0,0.0,9.0,7.0,0.0,1,"0,9190099","0,872516992","0,055439536","0,011793255","0,001761039","0,004518012","6,32E-04","8,04E-04","0,043485066",-2,-5,"0,225599468",0,"0,083333333","0,108333333","0,629166667",0,"0,170833333",0,"0,933333333","0,033333333","0,008333333",0,"0,166666667","0,258333333","0,208333333",0,0,"0,041666667","0,475",0,"0,183333333",0,0,0,0,0,0,0,0,"0,054166667",1.0,N,66.0,0.054648,67.38317,,,,,
19,PP1,1.0,N,20120918T133900000,6.0,4.0,0.0,0.0,0.0,1.0,4638986272229890.0,4639.0,103.0,67.0,36.0,0.0,7.0,0.0,14.0,2.0,4.0,1,"0,902956146","0,913238834","0,060777082","0,013854851","0,005616939","0,005032632","2,98E-04","9,75E-04","0,045469784",-7,-7,2,0,"0,288702929","0,326359833","0,50209205","0,037656904","0,292887029",0,"0,853556485","0,075313808","0,008368201",0,"0,322175732","0,426778243","0,033472803","0,0041841",0,"0,062761506","0,430962343","0,029288703","0,092050209",0,0,0,0,0,0,0,0,"0,523012552",1.0,N,67.0,0.051748,65.251621,,,,,
20,PP1,1.0,N,20120918T134000000,11.0,6.0,0.0,1.0,2.0,1.0,7144703826014630.0,7145.0,123.0,87.0,36.0,0.0,10.0,1.0,18.0,3.0,1.0,1,"0,886240953","0,907437089","0,04319619","0,015269316","0,006715594","0,003932552","3,39E-04","8,64E-04","0,025869066",-12,-6,2,0,"0,5875","0,583333333","0,691666667",0,"0,233333333",0,"0,875","0,108333333",0,0,"0,183333333","0,1","0,091666667",0,0,"0,004166667","0,154166667",0,"0,145833333",0,0,0,0,0,0,0,0,"0,3125",1.0,N,69.0,0.05049,64.253475,,,,,
